_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-10-27 04:00:00+00:00,124.03,124.44,121.46,123.4,37367674.0,351896.0,123.007406
GOOG,2023-10-30 04:00:00+00:00,124.46,126.55,123.88,125.75,24167619.0,263579.0,125.656419
GOOG,2023-10-31 04:00:00+00:00,126.27,126.56,123.925,125.3,21125636.0,234112.0,125.039808
GOOG,2023-11-01 04:00:00+00:00,125.34,127.74,124.925,127.57,26553523.0,268403.0,126.751768
GOOG,2023-11-02 04:00:00+00:00,129.56,130.09,128.11,128.58,24106013.0,235348.0,128.767117
GOOG,2023-11-03 04:00:00+00:00,129.09,130.73,129.01,130.37,19529449.0,218706.0,130.111665
GOOG,2023-11-06 05:00:00+00:00,130.22,131.56,129.93,131.45,15361237.0,165664.0,130.994076
GOOG,2023-11-07 05:00:00+00:00,131.98,133.28,131.14,132.4,19226005.0,190822.0,132.460346
GOOG,2023-11-08 05:00:00+00:00,132.36,133.54,132.16,133.26,15102857.0,164142.0,132.907992
GOOG,2023-11-09 05:00:00+00:00,133.36,133.96,131.51,131.69,17981709.0,186631.0,132.400855
GOOG,2023-11-10 05:00:00+00:00,131.53,134.27,130.87,134.06,20879839.0,198945.0,133.158891
GOOG,2023-11-13 05:00:00+00:00,133.36,134.11,132.77,133.64,16410742.0,159551.0,133.625965
GOOG,2023-11-14 05:00:00+00:00,135.65,137.24,135.1,135.43,22324376.0,238869.0,135.918979
GOOG,2023-11-15 05:00:00+00:00,136.64,136.84,135.33,136.38,15844267.0,175246.0,136.106146
GOOG,2023-11-16 05:00:00+00:00,136.96,138.8799,136.08,138.7,17619604.0,204909.0,138.161318
GOOG,2023-11-17 05:00:00+00:00,137.82,138.0,135.48,136.94,25590192.0,276270.0,136.675836
GOOG,2023-11-20 05:00:00+00:00,135.5,138.425,135.49,137.92,19596867.0,212478.0,137.569901
GOOG,2023-11-21 05:00:00+00:00,137.94,138.965,137.705,138.62,17653099.0,180210.0,138.352313
GOOG,2023-11-22 05:00:00+00:00,139.1,141.1,139.0,140.02,17310815.0,189661.0,140.076179
GOOG,2023-11-24 05:00:00+00:00,139.54,139.677,137.47,138.22,8828641.0,98748.0,138.284089
GOOG,2023-11-27 05:00:00+00:00,137.57,139.63,137.54,138.05,17893644.0,188132.0,138.206508
GOOG,2023-11-28 05:00:00+00:00,137.63,138.66,137.04,138.62,17050066.0,162278.0,138.117692
GOOG,2023-11-29 05:00:00+00:00,138.985,139.67,136.295,136.4,21017761.0,216002.0,137.175696
GOOG,2023-11-30 05:00:00+00:00,136.4,136.96,132.79,133.92,29916997.0,271067.0,133.981977
GOOG,2023-12-01 05:00:00+00:00,133.32,133.5,132.1517,133.32,24267989.0,247529.0,132.945798
GOOG,2023-12-04 05:00:00+00:00,131.294,131.45,129.4,130.63,24121231.0,265314.0,130.293941
GOOG,2023-12-05 05:00:00+00:00,130.37,133.54,129.73,132.39,19242850.0,226761.0,132.149966
GOOG,2023-12-06 05:00:00+00:00,132.9,133.31,131.31,131.43,16373332.0,184833.0,132.084458
GOOG,2023-12-07 05:00:00+00:00,136.6,140.0,136.23,138.45,38429799.0,372100.0,138.445177
GOOG,2023-12-08 05:00:00+00:00,135.66,137.99,135.57,136.64,23004302.0,249903.0,136.629444
GOOG,2023-12-11 05:00:00+00:00,133.82,134.79,132.89,134.7,24518953.0,249596.0,134.148433
GOOG,2023-12-12 05:00:00+00:00,133.27,134.54,132.83,133.64,26589114.0,244002.0,133.661943
GOOG,2023-12-13 05:00:00+00:00,134.545,134.78,132.95,133.97,25414468.0,240710.0,133.88521
GOOG,2023-12-14 05:00:00+00:00,134.77,135.035,131.06,133.2,29629174.0,295942.0,132.827078
GOOG,2023-12-15 05:00:00+00:00,132.92,134.83,132.63,133.84,58588525.0,266062.0,133.601921
GOOG,2023-12-18 05:00:00+00:00,133.86,138.38,133.77,137.19,25705362.0,252770.0,136.978
